Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,College of Charleston,15,3,.833,27,7,.794,80.5,72.5,4.2,-2.9,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Drexel,13,5,.722,20,12,.625,73.3,66.6,1.3,-3.5,
3,UNC Wilmington,12,6,.667,21,10,.677,79.4,71.0,1.4,-2.7,
3,Hofstra,12,6,.667,20,13,.606,74.2,68.5,2.4,-1.9,
5,Towson,11,7,.611,20,14,.588,67.5,63.6,0.4,-2.1,
6,Delaware,10,8,.556,19,14,.576,73.2,69.7,-1.5,-4.1,
6,Stony Brook,10,8,.556,20,15,.571,73.5,72.3,-2.5,-2.5,
6,Monmouth,10,8,.556,18,15,.545,72.4,72.6,-3.0,-2.8,
9,Campbell,8,10,.444,14,18,.438,71.0,72.1,-10.5,-5.5,
10,Northeastern,7,11,.389,12,20,.375,69.4,72.3,-6.0,-3.0,
11,Elon,6,12,.333,13,19,.406,73.1,75.4,-11.3,-5.3,
12,North Carolina A&T,5,13,.278,7,25,.219,65.6,77.9,-16.2,-3.8,
13,William & Mary,4,14,.222,10,23,.303,69.8,72.1,-11.2,-5.4,
14,Hampton,3,15,.167,9,24,.273,71.8,76.4,-15.7,-5.1,
